sentence,model_category_label
"Steffes Testimony To House Committee Today. Attached is Jim's prepared statement filed last night for today's House Energy and Air Quality Subcommittee (Chairman Barton) hearing on reliability, transmission incentives and siting issues. You will see we use the opportunity to make a plug for large RTOs as well. Jim will actually deliver a five minute oral summary. He is appearing as the EPSA witness in his capacity as chairman of the EPSA Regulatory Affairs Committee. There will be ten witnesses on the panel. Others will represent EEI, NARUC, APPA, LPPC, NRECA, NERC (David Cook), ELCON, Consumers for Fair Competition, and GF Energy. We will provide a report following the hearing.",0
"Public Policy Contacts for California. Jeff and Steve As you requested, I have prepared a list of my preferred public policy contacts for California. It is composed of professionals from an array of public, private and non-profit backgrounds. I have worked in some capacity with each of these people and most I know quite well. Please call me for further background. Kevin 213-926-2626 Attachment - Kevin Scott - Preferred Contacts - 6-20-01.doc",5
"Re: Tax Valuations for YR2000. Congratulations! Gary Fitch@ENRON on 07/27/2000 12:02:47 PM To: Bill Donovan/EPSC/HOU/ECT@ECT cc: Steven J Kean/HOU/EES@EES Subject: Tax Valuations for YR2000 Bill, we hit a home run this morning with HCAD. They have agreed to take my reduced valuation on the Enron fleet. A reduction of $16,079,000 in taxable value. This results in savings of $482,375. That's not all, our allocation based on records for operations outside of the state of Texas resulted in additional savings of $1,559,638. Total savings to our 2000 budget will be $2,042,013.",0
"FW: Wharton-Tiger Team-2002. Shirley, Please, set up a meeting. I am out on Tuesday: PRC all day. Vince -----Original Message----- From: Lebeau, Paul Sent: Tuesday, July 03, 2001 3:38 PM To: Shankman, Jeffrey A.; Kaminski, Vince J; ',Christie.Patrick@enron.com' Cc: Burns, Jennifer; Crenshaw, Shirley Subject: FW: Wharton-Tiger Team-2002 Importance: High Jeff , Vince, & Christie, I was wanting to try and get together first part next week to discuss our possible participation with the ""Tiger Team"" Field Application Program at Wharton. Please let me know. Thanks -=- Paul LeBeau/Recruiter -----Original Message----- From: Warner, Traci Sent: Monday, July 02, 2001 12:34 PM To: Lebeau, Paul Subject: FW: Wharton-Tiger Team-2002 Importance: High I know you received this also - but wanted to check to see if you were going to coordinate with Christie Patrick on this TW -----Original Message----- From: FAP <FAP@management.wharton.upenn.edu>@ENRON [mailto:IMCEANOTES-FAP+20+3CFAP+40management+2Ewharton+2Eupenn+2Eedu+3E+40ENRON@ENRON.com] Sent: Thursday, June 28, 2001 3:48 PM To: 'twarner@enron.com'; 'paul.lebeua@enron.com' Cc: FAP Subject: FW: Wharton-Tiger Team-2002 Importance: High > -----Original Message----- > From: FAP > Sent: Thursday, June 28, 2001 4:40 PM > To: 'Jeffrey.A.Shankman@enron.com'; 'vkamins@enron.com'; > ' [Lebeau, Paul] > Cc: FAP > Subject: Wharton-Tiger Team-2002 > Importance: High > > I am writing in anticipation of your participation in the Wharton School's > ""Tiger Team"" Field Application Program (FAP) for the Academic Year > 2001-2002. > We are in the process of making preparations for the upcoming ""Tiger Team"" > program. Last year we held focus groups to evaluate the quality of our > program. One suggestion of these groups was better facilitation of the > matching process between students and hosts. To achieve that end we > request your assistance. > > We are asking for a verbal commitment to host a Tiger project no later > than mid-July. No project scope needs be identified at that time, just a > commitment to work with the program. We have experienced high sponsor > demand and our resources are constrained. We don't want to reject projects > because we lack the necessary resources. And, we want to identify our > project hosts to students as early in the school year as possible. We feel > this will allow students to better integrate the FAP experience into their > recruiting efforts. It will also allow us to better match faculty > expertise (especially institutional) with hosts. > As an incentive to help us improve the FAP experience, we ask our > returning hosts for the same contribution as last year - $10,000. This > amount does not cover our variable costs, though we believe we offer hosts > great value in terms of product output and recruitment opportunities. > However, after July we will need to increase our requests for > contributions to help cover these costs. While we realize that it is often > difficult to forecast changes to operational, organizational and budgetary > requirements, we ask that you take this factor into consideration. Please > notify us of your decision to participate by email at > <mailto:fap@management.wharton.upenn.edu>. > I will forward you more detailed information and a calendar for the > academic year with critical dates and deadlines for hosts. As you will > see, we have ""moved-up"" our deadlines relative to last year to help us > better facilitate the host-student matching process. Our staff also asked > for extra time to allow faculty to have more input into the project's > scope earlier in the process. Our focus groups suggested both students and > hosts would benefit from this. Should you have any questions or concerns > before then, please feel free to contact me. > Thank you for your interest in helping the Wharton School achieve its > educational mission. I look forward to working with you in the future > > Sincerely, > > Donna Piazze > Program Director > Field Application Project > The Wharton School > Univ. of Pennsylvania > 215.573.8394 fax 215.573.5727 > fap@management.wharton.upenn.edu > piazze@wharton.upenn.edu >",3
Thank you. thanks for your help in preparing for the Texas hearing. I think Texas legislators are viewing the California experience in the proper context and I think I was at least marginally articulate on the emissions issues as well. thanks again.,0
"Re: CONFIDENTIAL - Residential in CA. Agreed. Trying to be too cute with our strategy is difficult. Look, about 4 years ago we pulled out of the market. I think that we need to simply accept that these customers are going back sooner or later. NPC won't even pick this up. Jim Paul Kaufman@ECT 04/13/2001 01:06 PM To: Karen Denne/Corp/Enron@ENRON cc: James D Steffes/NA/Enron@Enron, Jeff Dasovich Subject: Re: CONFIDENTIAL - Residential in CA I like the idea, particularly if we can time any decision to turn the customers back so it falls after the failure to get some action out of Sacto (instead of after our earnings release). The only problem I see is that we would need a decision from the top that we're not going to turn the customers back if we get direct access (so we can end the debate). I don't think it helps us if we get lucky, get direct access back, then make a decision to return customers to the utility. Karen Denne@ENRON 04/13/2001 10:30 AM To: James D Steffes/NA/Enron@Enron cc: Jeff Dasovich/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Sandra McCubbin/NA/Enron@Enron, Richard Shapiro/NA/Enron@Enron, Janel Guerrero/Corp/Enron@Enron, Mark Palmer/Corp/Enron@ENRON, Susan J Mara/NA/Enron@ENRON, Peggy Mahoney/HOU/EES@EES, Harry Kingerski/NA/Enron@Enron, Dan Leff/HOU/EES@EES Subject: Re: CONFIDENTIAL - Residential in CA Before any decision is made, I think we really need to weigh in with EES on the ramifications (both PR and legislative) of turning back 16,000 residential customers. I strongly believe that the public hit we will take will be far greater than our actual out-of-pocket losses. We will be crucified by the public, media, consumer groups, legislators, governor, attorney general, etc., and this action will reaffirm our reputation of packing up and leaving when it's not in our interest. The impact of this action would be exacerbated since it is on the heels of UC/CSU. I would also argue that this hurts our national dereg efforts. If we're advocating that competition and choice benefits consumers and then we turn around and pull out of a market and abandon customers when we're not ""profiting,"" we'll kill any chances we have of ever serving retail customers in California -- or in any other state. We look foolish advocating for direct access when we're not willing to serve our existing -- let alone future customers What about a preemptive strike that engages these 16,000 customers to weigh in on direct access -- i.e. a letter that says ""Enron may be forced to cancel its contract -- call/write/send the enclosed postcard to your legislator and tell them you want to keep your right to choose your energy service provider."" Our credibility is on the line. Before we take this action, we need to be cognizant of all the long-range strategic implications, and we need to seriously weigh the negative impact this will have on our corporate reputation, on our legislative abilities and on our commercial success going forward. kd James D Steffes 04/12/2001 09:05 PM To: Jeff Dasovich/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Sandra McCubbin/NA/Enron@Enron, Richard Shapiro/NA/Enron@Enron, Janel Guerrero/Corp/Enron@Enron, Mark Palmer/Corp/Enron@ENRON, Karen Denne/Corp/Enron@ENRON, Susan J Mara/NA/Enron, Peggy Mahoney/HOU/EES@EES, Harry Kingerski/NA/Enron@Enron cc: Dan Leff/HOU/EES@EES Subject: CONFIDENTIAL - Residential in CA In the meeting today, no decision was made about what to do with Enron's 16,000 residential customers. Each of the contracts gives a basic 30 day out right to Enron. That being said, I think that we have a short window to push for DA before any public action impacts us in Sacramento. I realize that the ultimate action (which I think is inevitable) makes it harder for our advocacy on DA, but real $ are flowing out of the company. EES will give us notice when a decision is reached. Thanks, Jim",0
Charts from Terry Thorn,0
"Re: MEC. Start with Joe hillings in DC To: Steven J Kean/HOU/EES@EES cc: Subject: MEC Steve, What are your thoughts on public subsidies/tax breaks for MEC? Who should I contact to discuss the possibilites for some tax advantages on new facilities? Thanks, Mark",0
"FW: ticket. -----Original Message----- From: Urszula Sobczyk <urszula@pacbell.net>@ENRON [mailto:IMCEANOTES-Urszula+20Sobczyk+20+3Curszula+40pacbell+2Enet+3E+40ENRON@ENRON.com] Sent: Tuesday, June 19, 2001 6:37 PM To: Kaminski, Vince J Subject: Re: ticket Our phone number is 1-800-801-1055. Urszula Vince.J.Kaminski@enron.com wrote: > What are the hours for Conti vs. Air France? I am the ofice for another 45 > minutes. > Your phone number? > > Vince > > -----Original Message----- > From: Urszula Sobczyk <urszula@pacbell.net>@ENRON > [mailto:IMCEANOTES-Urszula+20Sobczyk+20+3Curszula+40pacbell+2Enet+3E+40ENRON@ENRON.com] > > Sent: Tuesday, June 19, 2001 5:56 PM > To: Kaminski, Vince J > Subject: Re: ticket > > Dzien Dobry ponownie, > Na wszystkie te polaczenia ceny wychodzi ok. $1700.00. > Jedyne co to wylot 04 lipca z IAH przez Chicago do Warszawy - LOT, > powrot 09 lipca, Warszawa - JFK, JFK > przez DFW (Dallas) do Houston. Cena wychodz $1107.10. Bardzo prosze o > kontakt. > Urszula > > Vince.J.Kaminski@enron.com wrote: > > > Another question. What about a Continental flight to Amsterdam and > from > > Amsterdam to Warsaw? > > > > I can also fly Continental through Rome or London, as long as I don't > have > > to change airports. > > > > Vince > > > > -----Original Message----- > > From: Urszula Sobczyk <urszula@pacbell.net>@ENRON > > > [mailto:IMCEANOTES-Urszula+20Sobczyk+20+3Curszula+40pacbell+2Enet+3E+40ENRON@ENRON.com] > > > > Sent: Tuesday, June 19, 2001 1:50 PM > > To: vkamins@enron.com > > Subject: re: ticket > > > > Dzien dobry Panu, > > Na wylot 04 lipca z IAH do Warszawy i powrot 09 lipca (8 lipca nie > bylo > > miejsca) cena wynosi $1680.26. > > Bardzo prosze o kontakt czy jest Pan zainteresowany. > > Pozdrawiam, > > Urszula",1
"Re: Humberto (Beto) Kuhn, resume. Humberto - I forwarded your resume to Barry Hunsaker who is general counsel at EOG Resources. As you may know, EOG used to be Enron Oil and Gas, a majority-owned Enron subsidiary. A couple of years ago, Enron sold its interest in EOG and it became a stand alone company. EOG Resources has been doing very well. I don't know if they are looking for lawyers now, but I think I sent your resume to the right place. ""Humberto Kuhn"" <BetoKuhn@msn.com> on 05/21/2001 11:17:21 AM To: <skean@enron.com> cc: Subject: Humberto (Beto) Kuhn, resume Dear Steve:? With sincere and advance thanks, and pursuant to your recent conversation with my brother, George, I attach a copy of?the short version?of my resume.? I have a longer detailed version, as well as numerous references, that I will be pleased to furnish you.? In addition, I am at your disposal at any time that?you or any others at ENRON should wish to meet with me.? Again,?my thanks for your assistance and guidance. ? Kind regards, ? ? Beto Kuhn Cell:? 713/ 906-8463 Res:? 713/ 467-3974 - RESUME HGK,Short Form 05-01.doc",4
Suzanne Brown in your office.. Hartsoe-Commissions order on 75 O888 compl programs Maya WeberGordon Weil Dave Marquart Richard Tabors,3
"Protecting Confidential Information. The exciting cocktail of credit derivatives and Enron Online raises significant novel legal risks for Enron. As most of you will by now know, probably the most significant risk would arise in a situation where Enron has confidential information about a reference entity and wrongfully uses that information in pricing the credit derivative on that entity. This could well result in legal proceeding against Enron. In practice, an allegation of misuse of confidential information can be very difficult indeed to defend without adequate procedures in place to safeguard that information. In fact, Enron's credit trading will, as you know, rely strictly on publicly available financial information and will not involve the use of confidential information, unless the reference entity has specifically consented. Nevertheless, to avoid the appearance of impropriety, we are taking additional steps to consider confidentiality agreements we have in place with potential reference entities before deciding whether or not we will quote prices on such entities. Against this background is the ever-present risk of ""insider dealing"". This crime - which in the UK carries a maximum prison sentence of 7 years and an unlimited fine - is committed where a person (or member of their family etc) deals in the securities (shares, bonds or derivatives on them) of a listed company on the basis of unpublished (confidential) price-sensitive information. We do not expect at this time to deal in publicly traded bonds as part of EnronCredit.com, but insider dealing is relevant to the conduct of Enron staff and could affect other parts of our business. In addition, SFA rules in the UK require the safeguarding of confidential information, the misuse of which is a serious disciplinary matter. In order to ensure the success of this new business and that confidential information is not misused either by Enron or its staff, we are now introducing important new policies and procedures in Europe and in the US. These procedures have been drawn up specifically for your credit trading group by lawyers in London, Houston and New York and are attached. Please familiarise yourself, and any future member of the group, with these procedures. Once you have read and understood the attached procedures each one of you is required to confirm this to me in writing (or by note mail). Please note that similar procedures have been distributed to the key business heads in Europe who may have confidential information about reference entities (similar procedures are being disrtibuted to US business heads). This requires them to safeguard confidential information and to abide by the Restriced List procedure described below. Nevertheless, you should treat your group as being within a Chinese Wall and see it as your personal responsibility not to solicit or accept from anyone in Enron information about reference entities which may be confidential. Thank you for your co-operation in implementing these important new procedures. I look forward to receiving your confirmation mentioned above (which is also described in the procedures). Best regards Paul",0
"Re: AGA. What have they done for us? Terence H Thorn@ENRON_DEVELOPMENT 10/03/2000 08:30 AM To: Steven J Kean/NA/Enron@Enron cc: Subject: AGA Steve I need your help. Twice in the last three months I have run into the Chairman of AGA who has taken my head off for Enron not renewing its AGA dues. I understand that the dues had been paid by Stan Horton who had decided that the pipeline group with INGAA representing it had no need for and received no benefit from the membership. I guess a few years back, when AGA ""kicked"" the pipelines out, they renegotiated the dues into some type of sub membership for around 85K. AGA approached the gas marketing team and talked to Mike Roberts about renewing the membership and maintaining relations with his customers and later to Jeff Shankman who passed them off to some other person and never got back to them as promised. This is a heads up to tell you that Bob Catell of Brooklyn Union fame- one of Enron's oldest customers and friends will be calling Lay. It seems to me that pro rating the dues among ENA and EGM and maybe GPG might be a solution. Anyhow, I promised to pass on the complaint. Thanks.",0
"Re: MidAmerican Draft Documents. I realize you have pushed these guys already, but the attached letter would be better if not sent at all. It doesn't address the real underlying problem -- that a ""reliability bill"" on a stand alone basis doesn't fix the problem. Instead, the letter implies that the reason for opposition is merely a political consideration -- ie that it may reduce Congress' appetite for action next year. If possible, it would be better not to have the letter go out at all. From: Cynthia Sandherr 08/22/2000 04:29 PM To: Steven J Kean/NA/Enron@Enron, Richard Shapiro/HOU/EES@EES, Joe Hartsoe/Corp/Enron@ENRON, dwatkiss@bracepatt.com cc: Subject: MidAmerican Draft Documents Per my first e-mail, here's MidAmerican's position letter on the stand alone Reliability measure. Seems the best we can do with the utilities who have been supporting our position is to have them take a ""no position"" stance on the stand alone bill. - reliabilityonly.letter.doc",5
"California Refund Proceeding Privileged and Confidential Attorney Work Product Attorney-Client Communication. In our litigation meeting last Tuesday, we learned that netting of spot purchases and sales is of paramount importance in limiting our exposure to refunds, under the FERC's July 26 Order, in both the California and Pacific Northwest proceedings. However, in the California proceeding we are also afforded the opportunity in the Order to offset our receivables against any refund that would otherwise have to be paid by us. Also, to the extent that our receivables exceed the refund amount, the Order provides for payment of interest to us in accordance with CFR Section 35.19a. At present, I am aware of the existence of three receivables. As you will recall, I mentioned at Tuesday's meeting that we should be able to treat as a receivable for purposes of offset, the revenues due us from the application of the CAISO underscheduling penalty. I communicated the possibility of offsetting this receivable against any potential refund at this mornings Western Wholesale conference call, and subsequent research conducted by Alan Comnes indicates that the CAISO owes us $30MM, as per the CAISO's own numbers. The CAISO also owes us approximately $40MM due to nonpayment for one to two months of business. These two figures alone, totalling approximately $70MM, exceed the estimate of our potential exposure in the California proceeding. Finally, the negative CTC issue is another receivable due us by IOU's that, under the plain language of the Order, could potentially be used to offset any refund amount. I am not aware of the magnitude of this receivable but do understand that there are some sensitivities regarding this issue, including concerns about revealing the amount of the credit due us. It is likely that the amount would become public if it is presented in the California proceeding. Please give us your thoughts as to the use of the CTC receivable to offset potential refunds in the California proceeding.",0
"Re: i2 Bandwidth Management Agreement Press Release. looks good Meredith Philipp 10/13/2000 09:30 AM To: Kenneth Lay/Corp/Enron@ENRON, Jeff Skilling/Corp/Enron@ENRON, Joseph W Sutton/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT cc: Rosalee Fleming/Corp/Enron@ENRON, Sherri Sera/Corp/Enron@ENRON, Pam Benson/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Mark Palmer/Corp/Enron@ENRON, Steven J Kean/NA/Enron@Enron Subject: i2 Bandwidth Management Agreement Press Release Attached is a draft news release announcing Enron's bandwidth management agreement with i2. EBS is planning to issue this release on Monday, Oct. 16 prior to Enron's earnings release on Tuesday, Oct. 17. Please review and let me know if you have any comments by end of day today, Friday, Oct. 13. Thank you. Meredith Philipp",5
